Permit Number,Status,Street Number,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Added Date,Issue Date,Final Date,Building Area,Declared Valuation,Description,Application Type,Work Type,Use Code,Pre-direction,Location
294837,Stop Work,6,CLOVERBROOKE,CT,,POTOMAC,MD,20854,12/19/2002,12/19/2002,,1375,20000.00,,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"6 CLOVERBROOKE CT
POTOMAC, MD 20854
(39.073094, -77.223084)"
799071,Stop Work,22119,BROADWAY,AVE,,CLARKSBURG,MD,20871,05/11/2017,10/24/2017,03/07/2018,2772,95000.00,"Customer Wants To Use ePlans,LOT: 58 BLOCK: T SUBDIVISION: CABIN BRANCH HOUSE TYPE: SCHUBERT.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22119 BROADWAY AVE
CLARKSBURG, MD 20871"
277589,Stop Work,12203,EMERALD,WAY,,GERMANTOWN,MD,20876,05/15/2002,05/15/2002,,420,2000.00,deck and shed,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,DECK,,"12203 EMERALD WAY
GERMANTOWN, MD 20876
(39.203569, -77.251491)"
804311,Stop Work,22809,MUSCADINE,DR,,CLARKSBURG,MD,20871,06/26/2017,08/03/2017,11/21/2017,6090,175000.00,"Customer Wants To Use ePlans,LOT: 1
BLOCK: AAA
SUBDIVISION: CLARKSBURG VILLAGE
HOUS TYPE: REMMINGTON PLACE II",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22809 MUSCADINE DR
CLARKSBURG, MD 20871
(39.229446, -77.238698)"
808278,Stop Work,4302,ARBOR WOOD,CT,,BURTONSVILLE,MD,20866,07/28/2017,08/30/2017,01/05/2018,4269,175000.00,"Customer Wants To Use ePlans,LOT: 2
BLOCK: B
SUBDIVISION: BENTLEY PARK/FAIRLAND PARK
HOUSE TYPE: REVERSE - SALINGER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"4302 ARBOR WOOD CT
BURTONSVILLE, MD 20866"
769879,Stop Work,,,,,,,,08/26/2016,10/04/2016,,0,175000.00,"Customer Wants To Use ePlans,NEW PURE MODEL -  REVERSE CHARLOTTE BRONTE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
767093,Stop Work,13809,FOGGY GLEN,DR,,SILVER SPRING,MD,20906,08/07/2016,09/06/2016,02/07/2017,5776,300000.00,"Customer Wants To Use ePlans,Lot 118V Poplar Run Williamsport",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13809 FOGGY GLEN DR
SILVER SPRING, MD 20906
(39.08144, -77.030189)"
812235,Stop Work,1027,MUTUAL,PL,,SANDY SPRING,MD,20860,09/05/2017,05/16/2018,09/26/2018,3590,90000.00,"Customer Wants To Use ePlans,LOT: 12
BLOCK: A
SUBDIVISION: THOMAS VILLGE
HOUSE TYPE: ANDREW CARNEGIE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"1027 MUTUAL PL
SANDY SPRING, MD 20860"
773989,Stop Work,13425,REDSPIRE,DR,,SILVER SPRING,MD,20906,09/26/2016,10/27/2016,03/11/2017,5385,175000.00,"Customer Wants To Use ePlans,LOT: 96 BLOCK: K SUBDIVISION: POPLAR RUN HOUSE TYPE: ROME.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13425 REDSPIRE DR
SILVER SPRING, MD 20906
(39.075981, -77.03159)"
836396,Stop Work,13078,EBENEZER CHAPEL,DR,,CLARKSBURG,MD,20871,05/03/2018,06/11/2018,12/06/2018,2832,200000.00,"Customer Wants To Use ePlans,Lot 80BB Clarksburg Town Center West",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"13078 EBENEZER CHAPEL DR
CLARKSBURG, MD 20871
(39.242373, -77.27877)"
819468,Stop Work,1611,REGENT MANOR,CT,,SILVER SPRING,MD,20904,11/12/2017,01/18/2018,06/22/2018,2787,90000.00,"Revision 01 - REVISE ENERGY CALCULATIONS,Customer Wants To Use ePlansCustomer Wants To Use ePlans,LOT: 162
BLOCK: A
SUBDIVISION: WHITE OAK
HOUSE TYPE: SCHUBERT",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"1611 REGENT MANOR CT
SILVER SPRING, MD 20904
(39.042883, -76.977991)"
826394,Stop Work,4312,ARBOR WOOD,CT,,BURTONSVILLE,MD,20866,01/29/2018,03/07/2018,06/21/2018,3908,175000.00,"Customer Wants To Use ePlans,LOT: 7
BLOCK: B
SUBDIVISION: BENTLEY PARK/FAIRLAND PARK
HOUSE TYPE: ALCOTT",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"4312 ARBOR WOOD CT
BURTONSVILLE, MD 20866"
738360,Stop Work,6931,WARFIELD,RD,,GAITHERSBURG,MD,20882,12/08/2015,01/11/2016,05/02/2016,6463,175000.00,"Customer Wants To Use ePlans,FULKS PROPERTY, LOT 5, BLOCK A, HOUSE TYPE - CHAPEL HILL II..",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"6931 WARFIELD RD
GAITHERSBURG, MD 20882
(39.197693, -77.144081)"
807310,Stop Work,22548,MERGANSER,ST,,CLARKSBURG,MD,20871,07/20/2017,08/23/2017,,1877,250000.00,"Customer Wants To Use ePlans,Lot 2B Knox  Cabin Branch Refer to #788985",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22548 MERGANSER ST
CLARKSBURG, MD 20871
(39.225525, -77.290232)"
824821,Stop Work,22230,BROADWAY,AVE,,CLARKSBURG,MD,20871,01/11/2018,02/26/2018,06/12/2018,3745,175000.00,"Customer Wants To Use ePlans,CABIN BRANCH,
LOT 28, BLOCK V,
HOUSE TYPE - ALCOTT",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22230 BROADWAY AVE
CLARKSBURG, MD 20871
(39.218832, -77.285959)"
865910,Stop Work,10620,PARKWOOD,DR,,KENSINGTON,MD,20895,02/11/2019,09/19/2019,,6865,400000.00,"Customer Wants To Use ePlans,New 2 story single family home with finished attic and finished walkout basement. New driveway with attached 1 car garage.  Site grading and sediment control.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"10620 PARKWOOD DR
KENSINGTON, MD 20895
(39.030103, -77.085643)"
588720,Stop Work,13718,TRAVILAH,RD,,GAITHERSBURG,MD,20878,01/12/2012,06/25/2012,,9703,350000.00,construct new home vacant lot******REVISION TO NEW HOME BUILD 7/25/12****,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13718 TRAVILAH RD
GAITHERSBURG, MD 20878"
686583,Stop Work,8213,PLUM CREEK,DR,,GAITHERSBURG,MD,20882,09/04/2014,09/04/2014,12/22/2014,450,9500.00,REPAIR ROOF,BUILDING RESIDENTIAL PERMIT,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,,"8213 PLUM CREEK DR
GAITHERSBURG, MD 20882
(39.194281, -77.167925)"
766624,Stop Work,13501,WAGON,WAY,,SILVER SPRING,MD,20906,08/03/2016,08/24/2016,,1722,100.00,addition to side of home,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"13501 WAGON WAY
SILVER SPRING, MD 20906
(39.078053, -77.042077)"
813427,Stop Work,21814,FULMER,AVE,,CLARKSBURG,MD,20871,09/14/2017,12/04/2017,04/26/2018,5961,175000.00,"Customer Wants To Use ePlans,LOT: 77
BLOCK: Y
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: TYLER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"21814 FULMER AVE
CLARKSBURG, MD 20871"
811821,Stop Work,14027,STILT,ST,,CLARKSBURG,MD,20871,08/30/2017,12/04/2017,04/13/2018,5390,175000.00,"Customer Wants To Use ePlans,LOT: 20
BLOCK: Y
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: TYLER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14027 STILT ST
CLARKSBURG, MD 20871"
804474,Stop Work,20366,PEACH TREE,RD,,DICKERSON,MD,20842,06/27/2017,08/17/2017,11/22/2017,6923,175000.00,"Customer Wants To Use ePlans,Lot: 5 Subdivision: Greentree Farm House Type: Marymount",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"20366 PEACH TREE RD
DICKERSON, MD 20842
(39.195313, -77.375767)"
840796,Stop Work,14031,GODWIT,ST,,CLARKSBURG,MD,20871,06/11/2018,07/13/2018,,3825,300000.00,"Customer Wants To Use ePlans,Cabin Branch Lot 63X Tacoma",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14031 GODWIT ST
CLARKSBURG, MD 20871
(39.218053, -77.290049)"
870467,Stop Work,,,,,,,,03/27/2019,04/25/2019,,2785,300000.00,"Customer Wants To Use ePlans,Finley II Elev. 32,34,42 Rev.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
826354,Stop Work,19505,LEWIS ORCHARD,LN,,POOLESVILLE,MD,20837,01/29/2018,04/03/2018,09/10/2018,3679,214900.00,"Customer Wants To Use ePlans,Construct new single-family home on Lot 18 Block G Brightwell Crossing, Town of Poolesville, Refer Back#733719",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"19505 LEWIS ORCHARD LN
POOLESVILLE, MD 20837"
305537,Stop Work,8901,BURNING TREE,RD,,BETHESDA,MD,20817,05/12/2003,05/12/2003,,2026,100000.00,Foundation Only !!!!!!!,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"8901 BURNING TREE RD
BETHESDA, MD 20817
(39.001322, -77.137457)"
802189,Stop Work,10002,DICKENS,AVE,,BETHESDA,MD,20814,06/08/2017,08/11/2017,12/22/2017,4325,600000.00,"new home, corresponding demo #802188, HUD-1 to be submitted with paper plans",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"10002 DICKENS AVE
BETHESDA, MD 20814
(39.020278, -77.113625)"
690907,Stop Work,11606,TALL PINES,DR,,GERMANTOWN,MD,20876,10/09/2014,11/19/2014,12/11/2014,545,16205.25,INSTALL (31) SOLAR PANELS TO SFD ROOF,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"11606 TALL PINES DR
GERMANTOWN, MD 20876
(39.205218, -77.239645)"
773365,Stop Work,,,,,,,,09/22/2016,10/28/2016,,0,0.00,"Customer Wants To Use ePlans,NEW PURE MODEL: REVERSE - BALDWIN",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
688472,Stop Work,22311,BERTIE FARM,CT,,GAITHERSBURG,MD,20882,09/18/2014,09/23/2014,10/23/2014,75,24000.00,ADD BATHROOM,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"22311 BERTIE FARM CT
GAITHERSBURG, MD 20882
(39.219668, -77.176785)"
817920,Stop Work,22012,FULMER,AVE,,CLARKSBURG,MD,20871,10/26/2017,11/29/2017,03/28/2018,5953,175000.00,"Customer Wants To Use ePlans,LOT: 64
BLOCK: Y
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: TYLER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22012 FULMER AVE
CLARKSBURG, MD 20871
(39.216072, -77.288395)"
767366,Stop Work,,,,,,,,08/09/2016,09/15/2016,,3500,175000.00,"Customer Wants To Use ePlans,NEW PURE MODEL - REVERSE SIENNA",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
810917,Stop Work,314,CLOVERLY FOREST,DR,,SILVER SPRING,MD,20905,08/22/2017,09/19/2017,02/26/2018,3925,178000.00,MODEL: CHARLOTTE (M23C) ELEVATION F (refer back #740219),BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"314 CLOVERLY FOREST DR
SILVER SPRING, MD 20905"
628580,Stop Work,14916,JOSHUA TREE,RD,,GAITHERSBURG,MD,20878,03/14/2013,03/14/2013,10/09/2013,280,15000.00,DEMO/REBUILD DECK / ADD SCREENED ROOM,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"14916 JOSHUA TREE RD
GAITHERSBURG, MD 20878
(39.101815, -77.231204)"
692130,Stop Work,4200,MT OLNEY,LN,,OLNEY,MD,20832,10/21/2014,12/11/2014,12/24/2014,369,10977.75,INSTALL (21) SOLAR PANELS TO SFD ROOF,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"4200 MT OLNEY LN
OLNEY, MD 20832
(39.17798, -77.078352)"
838806,Stop Work,14265,TRAVILAH,RD,,ROCKVILLE,MD,20850,05/24/2018,07/06/2018,11/27/2018,1692,107000.00,"Customer Wants To Use ePlans,Build townhouse - MPDU",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"14265 TRAVILAH RD
ROCKVILLE, MD 20850
(39.091683, -77.211508)"
773796,Stop Work,5240,BALTIMORE,AVE,,BETHESDA,MD,20816,09/25/2016,10/26/2016,05/02/2017,4752,250000.00,"Customer Wants To Use ePlans,Construction of a Single-Family Residence.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"5240 BALTIMORE AVE
BETHESDA, MD 20816
(38.959522, -77.096856)"
826393,Stop Work,4206,CAMBERWELL,LN,,BURTONSVILLE,MD,20866,01/29/2018,02/26/2018,07/10/2018,5202,175000.00,"Customer Wants To Use ePlans,LOT: 10
BLOCK: F
SUBDIVISION: BENTLEY PARK/FAIRLAND PARK
HOUSE TYPE: REVERSE - ROME",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"4206 CAMBERWELL LN
BURTONSVILLE, MD 20866
(39.093752, -76.921613)"
819971,Stop Work,4324,ARBOR WOOD,CT,,BURTONSVILLE,MD,20866,11/15/2017,12/28/2017,05/03/2018,3828,175000.00,"Customer Wants To Use ePlans,LOT: 9
BLOCK: B
SUBDIVISION: BENTLEY PARK/FAIRLAND PARK
HOUSE TYPE: SALINGER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"4324 ARBOR WOOD CT
BURTONSVILLE, MD 20866"
795868,Stop Work,13204,MORAN,DR,,GAITHERSBURG,MD,20878,04/13/2017,04/14/2017,,450,20000.00,DECK - USING MO CO DECK DETAILS,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,DECK,,"13204 MORAN DR
GAITHERSBURG, MD 20878
(39.075963, -77.274305)"
819464,Stop Work,1619,REGENT MANOR,CT,,SILVER SPRING,MD,20904,11/12/2017,01/18/2018,06/19/2018,2772,90000.00,"Revision 01 - REVISE ENERGY CALCULATIONS,Customer Wants To Use ePlansCustomer Wants To Use ePlans,LOT: 158
BLOCK: A
SUBDIVISION: WHITE OAK
HOUSE TYPE: SCHUBERT",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"1619 REGENT MANOR CT
SILVER SPRING, MD 20904
(39.042883, -76.977906)"
826906,Stop Work,137,LIMPKIN,AVE,,CLARKSBURG,MD,20871,02/05/2018,02/27/2018,07/27/2018,5315,175000.00,"Customer Wants To Use ePlans,LOT: 16 BLOCK: AK SUBDIVISION: CABIN BRANCH HOUSE TYPE: REVERSE - MITCHELL-HOUSE TYPE (A/P# 774218)",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"137 LIMPKIN AVE
CLARKSBURG, MD 20871"
809100,Stop Work,2800,BIG BEAR,TER,,SILVER SPRING,MD,20906,08/04/2017,09/19/2017,12/21/2017,5043,300000.00,"Customer Wants To Use ePlans,Please make sure Laura Quigley gets the project invitation at LMQUIGLEY@GMAIL.COM

Lot 73 Layhill Overlook; Referback to pure model IRC 2015 HAMILTON (single Family) #719015",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"2800 BIG BEAR TER
SILVER SPRING, MD 20906
(39.091764, -77.057385)"
813425,Stop Work,22112,FULMER,AVE,,CLARKSBURG,MD,20871,09/14/2017,11/29/2017,04/23/2018,6211,175000.00,"Customer Wants To Use ePlans,LOT: 52
BLOCK: Y
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: TYLER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22112 FULMER AVE
CLARKSBURG, MD 20871
(39.218351, -77.287795)"
637254,Stop Work,13413,WINDY MEADOW,LN,,SILVER SPRING,MD,20906,06/04/2013,07/24/2013,11/27/2013,4799,200000.00,NEW HOME ON VACANT LOT,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13413 WINDY MEADOW LN
SILVER SPRING, MD 20906
(39.075078, -77.028617)"
828789,Stop Work,19219,ABBEY MANOR,DR,,BROOKEVILLE,MD,20833,02/24/2018,03/22/2018,07/17/2018,5668,175000.00,"HOUSE TYPE CHANGE - PREV 812711Customer Wants To Use ePlans,LOT: 4 BLOCK: I SUBDIVISION: MANOR OAKS HOUSE TYPE: DANVILLE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"19219 ABBEY MANOR DR
BROOKEVILLE, MD 20833"
703835,Stop Work,19404,FABER,CT,,MONTGOMERY VILLAGE,MD,20886,02/19/2015,02/19/2015,03/29/2015,115,2000.00,altering bathroom,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"19404 FABER CT
MONTGOMERY VILLAGE, MD 20886
(39.17444, -77.216635)"
658710,Stop Work,7225,WAPELLO,DR,,ROCKVILLE,MD,20855,12/23/2013,12/30/2013,,464,12000.00,OPEN PORCH WITH ROOF AND DECK,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7225 WAPELLO DR
ROCKVILLE, MD 20855
(39.111764, -77.145811)"
787101,Stop Work,13616,SOARING WING,LN,,SILVER SPRING,MD,20906,01/20/2017,02/17/2017,06/22/2017,5383,175000.00,"Customer Wants To Use ePlans,PLEASE ADD LKRUPINS@NVRINC.COM TO PROJECTDOX AS APPLICANT VIEW ONLY,
LOT 35, BLOCK G,
SUBDIVISION: POPLAR RUN,
HOUSE TYPE: ROME",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13616 SOARING WING LN
SILVER SPRING, MD 20906
(39.078788, -77.030433)"
773361,Stop Work,,,,,,,,09/22/2016,11/01/2016,,0,0.00,"Customer Wants To Use ePlans,NEW PURE MODEL: REVERSE - DANVILLE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
806374,Stop Work,7010,CRACKLIN,CT,,GAITHERSBURG,MD,20882,07/13/2017,08/29/2017,12/28/2017,7162,175000.00,"Customer Wants To Use ePlans,LOT: 7 BLOCK: B SUBDIVISION: FULKS PROPERTY HOUSE TYPE: CHAPEL HILL II",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"7010 CRACKLIN CT
GAITHERSBURG, MD 20882"
779762,Stop Work,13803,TRIBUTE,PKWY,,CLARKSBURG,MD,20871,11/08/2016,11/22/2016,04/26/2017,4376,300000.00,"Customer Wants To Use ePlans,Lot 15L Austin Cabin Branch",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13803 TRIBUTE PKWY
CLARKSBURG, MD 20871
(39.22202, -77.287933)"
856566,Stop Work,13408,PARTRIDGE,DR,,SILVER SPRING,MD,20904,10/27/2018,06/13/2019,,2739,205000.00,"Customer Wants To Use ePlans,New Construction of Single Family Dwelling
RANDOLPH Model Front Elevation A Garage Left",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13408 PARTRIDGE DR
SILVER SPRING, MD 20904
(39.076911, -76.991036)"
807902,Stop Work,14003,STILT,ST,,CLARKSBURG,MD,20871,07/26/2017,09/11/2017,03/02/2018,5969,300000.00,"Customer Wants To Use ePlans,Lot 8Y Cabin Branch Wright",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14003 STILT ST
CLARKSBURG, MD 20871"
842602,Stop Work,19205,ABBEY MANOR,DR,,BROOKEVILLE,MD,20833,06/25/2018,07/20/2018,11/16/2018,5452,175000.00,"Customer Wants To Use ePlans,LOT: 20
BLOCK: I
SUBDIVISION: MANOR OAKS
HOUSE TYPE: DANVILLE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"19205 ABBEY MANOR DR
BROOKEVILLE, MD 20833"
767363,Stop Work,,,,,,,,08/09/2016,08/30/2016,,0,175000.00,"Customer Wants To Use ePlans,NEW PURE MODEL - SIENNA",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
812147,Stop Work,21912,FULMER,AVE,,CLARKSBURG,MD,20871,09/05/2017,10/05/2017,02/26/2018,6166,175000.00,"Revision 01 - CHANGE ELEVATION.  NO CHANGE IN SQ. FT..,Customer Wants To Use ePlansCustomer Wants To Use ePlans,CABIN BRANCH, 
LOT 69, BLOCK Y, 
HOUSE TYPE - TYLER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"21912 FULMER AVE
CLARKSBURG, MD 20871"
775739,Stop Work,,,,,,,,10/07/2016,11/18/2016,,0,175000.00,"Customer Wants To Use ePlans,New Pure Model: Reverse - Marymount",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
812236,Stop Work,1029,MUTUAL,PL,,SANDY SPRING,MD,20860,09/05/2017,05/16/2018,09/26/2018,3590,90000.00,"Customer Wants To Use ePlans,LOT: 13
BLOCK: A
SUBDIVISION: THOMAS VILLGE
HOUSE TYPE: REVERSE - ANDREW CARNEGIE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"1029 MUTUAL PL
SANDY SPRING, MD 20860"
827076,Stop Work,14403,BENTLEY PARK,DR,,BURTONSVILLE,MD,20866,02/06/2018,02/26/2018,07/17/2018,4405,175000.00,"Customer Wants To Use ePlans,LOT: 5
BLOCK: C
SUBDIVISION: BENTLEY PARK/FAIRLAND PARK
HOUSE TYPE: MILAN",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14403 BENTLEY PARK DR
BURTONSVILLE, MD 20866
(39.092037, -76.918509)"
628919,Stop Work,12810,GRAND ELM,ST,,CLARKSBURG,MD,20871,03/18/2013,05/02/2013,09/27/2013,5390,300000.00,CHEVY CHASE WITH MORNING ROOM AND DECK,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"12810 GRAND ELM ST
CLARKSBURG, MD 20871
(39.242163, -77.26552)"
763564,Stop Work,13504,REDSPIRE,DR,,SILVER SPRING,MD,20906,07/13/2016,07/28/2016,,5152,300000.00,"Customer Wants To Use ePlans,Lot 34N Chicago Poplar Run",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13504 REDSPIRE DR
SILVER SPRING, MD 20906
(39.073939, -77.032592)"
760477,Stop Work,5338,CAMBERLEY,AVE,,BETHESDA,MD,20814,06/20/2016,07/13/2016,01/09/2017,3292,250000.00,REFERBACK - BETHESDA MEW UNIT B,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"5338 CAMBERLEY AVE
BETHESDA, MD 20814
(39.006479, -77.108424)"
328388,Stop Work,3305,FAYETTE,RD,,KENSINGTON,MD,20895,12/24/2003,,,700,130000.00,Addition,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"3305 FAYETTE RD
KENSINGTON, MD 20895
(39.025788, -77.06703)"
688579,Stop Work,17505,MCDADE,CT,,ROCKVILLE,MD,20855,09/19/2014,10/06/2014,10/14/2014,316,9409.50,INSTALL (18) SOLAR PANELS TO SFD ROOF,BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"17505 MCDADE CT
ROCKVILLE, MD 20855
(39.144216, -77.148559)"
767496,Stop Work,13817,FOGGY GLEN,DR,,SILVER SPRING,MD,20906,08/09/2016,09/20/2016,02/16/2017,6607,300000.00,"Customer Wants To Use ePlans,Lot 120V Raleigh Poplar Run",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13817 FOGGY GLEN DR
SILVER SPRING, MD 20906
(39.0816, -77.030306)"
759964,Stop Work,23510,PUBLIC HOUSE,RD,,CLARKSBURG,MD,20871,06/15/2016,08/16/2016,12/28/2016,2464,300000.00,"Customer Wants To Use ePlans,Lot 46 Meritage  townhouse detached 2 garage Clarksburg Town Center",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"23510 PUBLIC HOUSE RD
CLARKSBURG, MD 20871
(39.241951, -77.27859)"
690906,Stop Work,11909,FALLS,RD,,POTOMAC,MD,20854,10/09/2014,11/19/2014,12/24/2014,1143,33978.75,"INSTALL (65) SOLAR PANELS TO SFD ROOF

Revision***12/17/2014**************",BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"11909 FALLS RD
POTOMAC, MD 20854
(39.051314, -77.187364)"
805801,Stop Work,13946,BUFFLEHEAD,ST,,CLARKSBURG,MD,20871,07/10/2017,08/21/2017,12/11/2017,5104,175000.00,"Customer Wants To Use ePlans,LOT: 26
BLOCK: Y
SUBDIVISION: CABIN BRANCH
HOUSE TYPE: REVERSE - BALDWIN",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"13946 BUFFLEHEAD ST
CLARKSBURG, MD 20871
(39.218061, -77.289377)"
825211,Stop Work,13313,VANDALIA,DR,,ROCKVILLE,MD,20853,01/16/2018,,,1918,65000.00,"Customer Wants To Use ePlans,The project consist of a First floor and Basement addition and deck",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"13313 VANDALIA DR
ROCKVILLE, MD 20853
(39.074579, -77.083075)"
870387,Stop Work,11432,MAPLEVIEW,DR,,SILVER SPRING,MD,20902,03/27/2019,10/17/2019,,4510,500000.00,"Customer Wants To Use ePlans,new detached single family home",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"11432 MAPLEVIEW DR
SILVER SPRING, MD 20902
(39.044487, -77.071168)"
775349,Stop Work,16604,HEARTWOOD,DR,,ROCKVILLE,MD,20855,10/05/2016,11/10/2016,02/21/2017,2620,159000.00,"New Single Family Dwelling - Referback : Sudbury 729196

A/O PERMIT",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"16604 HEARTWOOD DR
ROCKVILLE, MD 20855
(39.128347, -77.115182)"
750496,Stop Work,,,,,,,,04/05/2016,04/28/2016,,0,0.00,"Customer Wants To Use ePlans,PURE MODEL NAME: REVERSE - JAMES MICHENER",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,
