"permitno","status","stno","stname","suffix","postdir","city","state","zip","addeddate","issueddate","finaleddate","buildingarea","declaredvaluation","description","applicationtype","worktype","usecode","predir","location"
"603766","Finaled","9500","KINGSLEY","AVE",,"BETHESDA","MD","20814","2012-06-29T01:06:24.000","2012-06-29T03:06:17.000","2012-12-19T10:12:20.000","399","50000","Screen porch &amp; deck","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"9500 KINGSLEY AVE
BETHESDA, MD 20814
(39.011142, -77.106841)"
"603779","Finaled","9015","DAMASCUS HILLS","LN",,"DAMASCUS","MD","20872","2012-06-29T03:06:52.000","2012-08-28T12:08:47.000","2012-12-19T04:12:01.000","5474","300000","Model:&nbsp; Kenwood II with alternate second floor","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"9015 DAMASCUS HILLS LN
DAMASCUS, MD 20872
(39.28197, -77.185)"
"603889","Finaled","11523","APPLE ORCHARD","WAY",,"CLARKSBURG","MD","20871","2012-07-05T07:07:57.000","2012-08-15T03:08:17.000","2013-03-18T11:03:07.000","5272","145000","HOUSE TYPE:&nbsp; REMINGTON PLACE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"11523 APPLE ORCHARD WAY
CLARKSBURG, MD 20871
(39.225234, -77.237912)"
"603891","Finaled","2208","KERRYDALE","CT",,"CLARKSBURG","MD","20871","2012-07-05T07:07:52.000","2012-08-15T03:08:45.000","2012-11-22T08:11:35.000","5272","145000","HOUSE TYPE:&nbsp; REMINGTON PLACE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"2208 KERRYDALE CT
CLARKSBURG, MD 20871
(39.223851, -77.239277)"
"603892","Finaled","2200","KERRYDALE","CT",,"CLARKSBURG","MD","20871","2012-07-05T07:07:56.000","2012-08-15T03:08:31.000","2013-03-18T11:03:15.000","5809","145000","HOUSE TYPE:&nbsp; WYNTERHALL","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"2200 KERRYDALE CT
CLARKSBURG, MD 20871
(39.223838, -77.239264)"
"604018","Finaled","14119","TURKEY FOOT","RD",,"GAITHERSBURG","MD","20878","2012-07-05T03:07:28.000","2012-08-21T03:08:12.000","2013-06-06T02:06:42.000","9838.12","530000","New home

revision to finish basement 2/1/13

&amp; Second floor Framinig","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"14119 TURKEY FOOT RD
GAITHERSBURG, MD 20878
(39.087418, -77.267727)"
"604024","Finaled","14111","TURKEY FOOT","RD",,"GAITHERSBURG","MD","20878","2012-07-05T03:07:28.000","2012-08-21T03:08:46.000","2013-05-20T08:05:25.000","9838","550000","New home

revision to 2/1/13&nbsp; Second floor Framinig","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"14111 TURKEY FOOT RD
GAITHERSBURG, MD 20878
(39.087169, -77.267653)"
"604083","Finaled","9517","CAPE ANNE","PL",,"MONTGOMERY VILLAGE","MD","20886","2012-07-06T10:07:17.000","2012-07-06T12:07:47.000","2012-09-17T03:09:32.000","541","43000","Screened porch with steps &amp; Deck","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"9517 CAPE ANNE PL
MONTGOMERY VILLAGE, MD 20886
(39.192399, -77.195359)"
"604088","Issued","8702","VICTORY","LN",,"POTOMAC","MD","20854","2012-07-06T11:07:35.000","2012-07-06T12:07:59.000",,"80","800","interior alteration- changing window to sliding door &nbsp;","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"8702 VICTORY LN
POTOMAC, MD 20854
(39.050348, -77.178502)"
"604094","Issued","2111","THOMPSON HILL","CT",,"SILVER SPRING","MD","20905","2012-07-06T11:07:18.000","2012-07-06T12:07:08.000",,"190","12000","Deck permit&nbsp;&nbsp; ****Revision to the framing*******","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"2111 THOMPSON HILL CT
SILVER SPRING, MD 20905
(39.113113, -76.967669)"
"604108","Issued","1508","RANDOLPH","RD",,"SILVER SPRING","MD","20904","2012-07-06T01:07:46.000","2012-07-06T03:07:02.000",,"392","800","WALK WAY- No Structural Changes to shed/garage.&nbsp; MONTGOMERY COUNTY DECK DETAILS","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SHED","E","1508 RANDOLPH RD
SILVER SPRING, MD 20904
(39.066421, -77.029695)"
"604291","Finaled","8509","FLOWER","AVE",,"TAKOMA PARK","MD","20912","2012-07-10T07:07:42.000","2012-08-10T11:08:16.000","2013-04-30T07:04:16.000","700","18700","18 ROOF MAUNTED SOLAR PANELS

&nbsp;","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"8509 FLOWER AVE
TAKOMA PARK, MD 20912
(38.995896, -77.0029)"
"604378","Finaled","310","PHILADELPHIA","AVE",,"TAKOMA PARK","MD","20912","2012-07-10T11:07:34.000","2012-07-10T01:07:21.000","2013-04-04T03:04:04.000","800","9125","Restore &amp; Repair for Structural Damage","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"310 PHILADELPHIA AVE
TAKOMA PARK, MD 20912
(38.982665, -77.014349)"
"604415","Finaled","5103","BALTIMORE","AVE",,"BETHESDA","MD","20816","2012-07-10T01:07:06.000","2012-07-10T02:07:29.000","2013-01-28T01:01:14.000","900","22000","Restore &amp; Repair - replace fire damaged joist &amp; refers","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"5103 BALTIMORE AVE
BETHESDA, MD 20816
(38.956827, -77.102708)"
"604531","Finaled","11625","DANVILLE","DR",,"ROCKVILLE","MD","20852","2012-07-11T10:07:29.000","2012-07-11T02:07:32.000","2013-11-14T03:11:10.000","941","20000","BASEMENT WALK-OUT &amp; CONSTRUCT DECK","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"11625 DANVILLE DR
ROCKVILLE, MD 20852
(39.046749, -77.13266)"
"604620","Finaled","8","RUSSELL","RD",,"CABIN JOHN","MD","20818","2012-07-11T02:07:00.000","2012-07-12T10:07:41.000","2012-10-25T07:10:04.000","123","2500","Front porch,&nbsp;shed, &amp; &nbsp;fence","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"8 RUSSELL RD
CABIN JOHN, MD 20818
(38.972411, -77.155625)"
"604652","Issued","14710","SPRING MEADOWS","DR",,"GERMANTOWN","MD","20874","2012-07-12T07:07:04.000","2012-07-13T01:07:24.000",,"1271","150000","ADDITION &amp; ALTERATION

REVISION submitted 10/4/12 - Architectural, Structural, &amp; Electrical (emc) Revision approved 

&nbsp;","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"14710 SPRING MEADOWS DR
GERMANTOWN, MD 20874
(39.09605, -77.299239)"
"604707","Finaled","1409","POPLAR RUN","DR",,"SILVER SPRING","MD","20906","2012-07-12T10:07:07.000","2012-08-13T10:08:43.000","2012-12-18T07:12:47.000","4458","200000","HOUSE TYPE:&nbsp; BRANFORD","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"1409 POPLAR RUN DR
SILVER SPRING, MD 20906
(39.078909, -77.033289)"
"604714","Finaled","17717","CLIFFBOURNE","LN",,"ROCKVILLE","MD","20855","2012-07-12T11:07:53.000","2012-08-06T02:08:31.000","2013-08-01T07:08:33.000","1200","1700","revision increasing size&nbsp; of the hot tub 10/9/2012","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"17717 CLIFFBOURNE LN
ROCKVILLE, MD 20855
(39.14645, -77.150672)"
"604732","Finaled","23200","ROBIN SONG","DR",,"CLARKSBURG","MD","20871","2012-07-12T12:07:03.000","2012-09-20T12:09:39.000","2013-04-16T07:04:21.000","3680","80000","Restore &amp; repair due to fire damage.","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"23200 ROBIN SONG DR
CLARKSBURG, MD 20871
(39.237528, -77.264537)"
"604789","Stop Work","22777","AUTUMN BREEZE","AVE",,"CLARKSBURG","MD","20871","2012-07-12T05:07:29.000","2012-12-10T11:12:58.000","2013-04-29T07:04:18.000","3245","95000","New Construction &amp; 6 ft Fence","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22777 AUTUMN BREEZE AVE
CLARKSBURG, MD 20871
(39.229913, -77.246707)"
"604790","Stop Work","22775","AUTUMN BREEZE","AVE",,"CLARKSBURG","MD","20871","2012-07-12T05:07:42.000","2012-12-10T12:12:09.000","2013-04-29T07:04:58.000","3245","0","New Construction &amp; 6 ft Fence","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22775 AUTUMN BREEZE AVE
CLARKSBURG, MD 20871
(39.229859, -77.246769)"
"604791","Stop Work","22773","AUTUMN BREEZE","AVE",,"CLARKSBURG","MD","20871","2012-07-12T05:07:48.000","2012-12-10T12:12:22.000","2013-04-29T06:04:58.000","3245","0","New Construction &amp; 6 ft Fence","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22773 AUTUMN BREEZE AVE
CLARKSBURG, MD 20871
(39.229811, -77.246826)"
"604792","Finaled","22771","AUTUMN BREEZE","AVE",,"CLARKSBURG","MD","20871","2012-07-12T05:07:53.000","2012-12-10T12:12:09.000","2013-04-29T06:04:11.000","3245","0","New Construction &amp; 6 ft Fence","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22771 AUTUMN BREEZE AVE
CLARKSBURG, MD 20871
(39.229759, -77.246887)"
"604912","Issued","17417","SIEVER","CT",,"GERMANTOWN","MD","20874","2012-07-13T11:07:53.000","2012-07-13T02:07:18.000",,"836","60000","Screened Porch &amp; Deck","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"17417 SIEVER CT
GERMANTOWN, MD 20874
(39.140887, -77.285952)"
"604939","Finaled","1001","ELM","AVE",,"TAKOMA PARK","MD","20912","2012-07-13T02:07:41.000","2012-07-13T02:07:34.000","2012-08-31T05:08:23.000","210","150000","Final only permit.&nbsp; Original permit # 503727","BUILDING RESIDENTIAL PERMIT","FINAL ONLY AP","SINGLE FAMILY DWELLING",,"1001 ELM AVE
TAKOMA PARK, MD 20912
(38.978756, -76.994123)"
"605038","Finaled","900","KERSEY","RD",,"SILVER SPRING","MD","20902","2012-07-16T10:07:50.000","2012-07-16T01:07:38.000","2015-06-09T10:06:10.000","100","2000","**REVISION TO STRUCTURE 9/5/12**

EXTENSION - 1/8/15 - GRANTED. NEW EXP JUNE 28, 2015 -&nbsp; FINAL EXTENSION","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"900 KERSEY RD
SILVER SPRING, MD 20902
(39.044459, -77.02786)"
"605075","Finaled","406","ETHAN ALLEN","AVE",,"TAKOMA PARK","MD","20912","2012-07-16T12:07:30.000","2012-07-17T04:07:47.000","2012-08-14T09:08:41.000","336","9500","MONTGOMERY COUNTY&nbsp; DECK DETAILS","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"406 ETHAN ALLEN AVE
TAKOMA PARK, MD 20912
(38.977809, -77.001053)"
"605092","Finaled","9504","HALE","PL",,"SILVER SPRING","MD","20910","2012-07-16T01:07:21.000","2012-07-16T03:07:26.000","2013-03-26T02:03:34.000","600","10000","RESTORE &amp; REPAIR/FIRE DAMAGE","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"9504 HALE PL
SILVER SPRING, MD 20910
(39.01174, -77.049651)"
"605201","Finaled","7436","BRENISH","DR",,"GAITHERSBURG","MD","20879","2012-07-17T11:07:09.000","2012-07-17T01:07:58.000","2012-08-17T06:08:14.000","303","4100","*Revision 7/26/12 - Expanding deck by&nbsp;12 square feet*","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"7436 BRENISH DR
GAITHERSBURG, MD 20879
(39.17723, -77.158206)"
"605307","Finaled","2045","DEERTREE","LN",,"ROCKVILLE","MD","20851","2012-07-17T05:07:05.000","2012-09-13T02:09:52.000","2013-03-20T07:03:43.000","1995","175000","Model:Violets&nbsp;&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"2045 DEERTREE LN
ROCKVILLE, MD 20851
(39.088129, -77.117468)"
"605308","Finaled","2051","DEERTREE","LN",,"ROCKVILLE","MD","20851","2012-07-17T05:07:57.000","2012-09-13T02:09:12.000","2013-03-20T07:03:50.000","1995","175000","Model:Violets&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"2051 DEERTREE LN
ROCKVILLE, MD 20851
(39.088093, -77.117712)"
"605456","Stop Work","614","MCNEILL","RD",,"SILVER SPRING","MD","20910","2012-07-18T11:07:48.000","2012-08-02T08:08:29.000",,"388","677000","ADDITION &amp; ALTERATION

**REVISION TO STRUCTURE 11/20/12**","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"614 MCNEILL RD
SILVER SPRING, MD 20910
(38.99617, -77.018372)"
"605478","Finaled","8218","CASTANEA","LN",,"ROCKVILLE","MD","20855","2012-07-18T01:07:06.000","2012-08-21T08:08:13.000","2013-03-13T01:03:05.000","4107","200000","HOUSE TYPE:&nbsp; CRESTBROOKE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8218 CASTANEA LN
ROCKVILLE, MD 20855
(39.137135, -77.168374)"
"605486","Finaled","305","PICEA VIEW","CT",,"ROCKVILLE","MD","20855","2012-07-18T01:07:39.000","2012-08-21T08:08:44.000","2013-02-22T07:02:19.000","4266","200000","HOUSE TYPE:&nbsp; BLOOMFIELD","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"305 PICEA VIEW CT
ROCKVILLE, MD 20855
(39.137959, -77.168952)"
"605573","Finaled","3529","SINGERS GLEN","DR",,"OLNEY","MD","20832","2012-07-19T09:07:02.000","2012-07-19T10:07:59.000","2012-09-04T07:09:36.000","50","10000","BUILDING&nbsp;A PASSAGE WAY FROM PATIO TO GARAGE.","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"3529 SINGERS GLEN DR
OLNEY, MD 20832
(39.141997, -77.0704)"
"605601","Finaled","2603","TERRAPIN","RD",,"SILVER SPRING","MD","20906","2012-07-19T10:07:27.000","2012-07-19T11:07:42.000","2012-09-12T03:09:44.000","490","12000","ALTERATIONS/REMODEL OF EXISTING HOME.&nbsp; ALL INTERIOR WORK (OWNER IS APPLICANT)","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"2603 TERRAPIN RD
SILVER SPRING, MD 20906
(39.059111, -77.052973)"
"605695","Finaled","5208","BANGOR","DR",,"KENSINGTON","MD","20895","2012-07-19T02:07:11.000","2012-07-25T10:07:10.000","2012-09-11T07:09:25.000","250","11000","ENCLOSING EXIST SCREEN PORCH &amp; BUILDING SCREEN PORCH","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"5208 BANGOR DR
KENSINGTON, MD 20895
(39.036598, -77.104933)"
"605698","Finaled","14510","ALMANAC","DR",,"BURTONSVILLE","MD","20866","2012-07-19T02:07:10.000","2012-07-20T12:07:22.000","2013-04-03T03:04:07.000","20","500","ALTERATION---&nbsp;KITCHEN WINDOW TO OUTDOOR OPENING TO DECK","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"14510 ALMANAC DR
BURTONSVILLE, MD 20866
(39.094107, -76.930899)"
"605725","Finaled","8202","RIVER QUARRY","PL",,"BETHESDA","MD","20817","2012-07-19T05:07:55.000","2013-05-10T08:05:39.000","2014-05-23T02:05:42.000","5684","500000","Model:&nbsp; Garnett","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8202 RIVER QUARRY PL
BETHESDA, MD 20817
(38.992329, -77.160307)"
"605726","Finaled","8313","QUARRY MANOR","TER",,"BETHESDA","MD","20817","2012-07-19T05:07:20.000","2012-09-26T09:09:51.000","2013-07-08T02:07:30.000","5684","500000","Model:&nbsp; Garnett","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8313 QUARRY MANOR TER
BETHESDA, MD 20817
(38.993285, -77.160715)"
"605727","Finaled","8311","QUARRY MANOR","TER",,"BETHESDA","MD","20817","2012-07-19T05:07:24.000","2012-09-26T09:09:54.000","2013-08-28T11:08:53.000","5684","500000","Model:&nbsp; GarnettSite revision submitted on 9/27/2012/Revision issued on 9/27/2012","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8311 QUARRY MANOR TER
BETHESDA, MD 20817
(38.993136, -77.160848)"
"605728","Finaled","8309","QUARRY MANOR","TER",,"BETHESDA","MD","20817","2012-07-19T05:07:28.000","2013-03-20T03:03:13.000","2013-11-14T01:11:59.000","5684","500000","Model:&nbsp; GarnettRevision submitted for site change on 9/28/2012","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8309 QUARRY MANOR TER
BETHESDA, MD 20817
(38.992925, -77.160916)"
"605729","Finaled","8200","RIVER QUARRY","PL",,"BETHESDA","MD","20817","2012-07-19T05:07:31.000","2013-05-10T08:05:39.000","2014-06-26T07:06:17.000","5684","500000","Model:&nbsp; Garnett","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8200 RIVER QUARRY PL
BETHESDA, MD 20817
(38.992255, -77.160372)"
"605730","Finaled","8219","RIVER QUARRY","PL",,"BETHESDA","MD","20817","2012-07-19T05:07:34.000","2013-04-12T10:04:06.000","2013-12-13T04:12:13.000","5684","500000","Model:&nbsp; Garnett","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8219 RIVER QUARRY PL
BETHESDA, MD 20817
(38.99284, -77.159842)"
"605758","Finaled","105","SOUTH BROOK","LN",,"BETHESDA","MD","20814","2012-07-20T08:07:49.000","2012-07-26T11:07:39.000","2012-11-14T02:11:43.000","197","90000","ADDITION/ALTERATION---Bathroom addition and bedroom expansion&nbsp;to SFD","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"105 SOUTH BROOK LN
BETHESDA, MD 20814
(38.991317, -77.104042)"
"605789","Finaled","8710","MILFORD","AVE",,"SILVER SPRING","MD","20910","2012-07-20T10:07:03.000","2012-07-20T12:07:29.000","2012-12-04T04:12:06.000","300","20000","ALTERATIONS---RELOCATION ON CLOSETS &amp; ADDITION OF WINDOWS TO SFD","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"8710 MILFORD AVE
SILVER SPRING, MD 20910
(38.998941, -77.044443)"
"605847","Finaled","8912","SENECA","LN",,"BETHESDA","MD","20817","2012-07-20T04:07:09.000","2012-11-27T11:11:38.000","2013-10-25T05:10:54.000","8912","400000","Single Family dwelling-Demolition/rebuild&nbsp;","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"8912 SENECA LN
BETHESDA, MD 20817
(39.001207, -77.111174)"
"605883","Finaled","3034","BIG BEAR","TER",,"SILVER SPRING","MD","20906","2012-07-23T08:07:01.000","2013-05-07T04:05:34.000","2014-05-16T09:05:30.000","4730","0","Referback to #576106,&nbsp;NEW WINDSOR&nbsp;(IRC 2009)-*Site revision submitted on 5/29/2013 

REVISION 06/12/2013 Structural,&nbsp;Architectural, and Site changes","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"3034 BIG BEAR TER
SILVER SPRING, MD 20906
(39.0934, -77.061267)"
"606228","Issued","4411","CAMBRIA","AVE",,"GARRETT PARK","MD","20896","2012-07-24T03:07:31.000","2012-11-01T02:11:12.000",,"3150","700000","DEMO / REBUILD&nbsp; REVISION 01/18/2013 Structural","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"4411 CAMBRIA AVE
GARRETT PARK, MD 20896
(39.032751, -77.087458)"
"606287","Finaled","13601","NIGHT SKY","DR",,"SILVER SPRING","MD","20906","2012-07-25T09:07:02.000","2012-08-21T11:08:01.000","2012-12-18T07:12:43.000","5421","200000","HOUSE TYPE:&nbsp; BRANFORD","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"13601 NIGHT SKY DR
SILVER SPRING, MD 20906
(39.078861, -77.037536)"
"606318","Finaled","13617","EARLY LIGHT","LN",,"SILVER SPRING","MD","20906","2012-07-25T11:07:25.000","2012-08-21T12:08:35.000","2012-12-17T07:12:20.000","4736","200000","HOUSE TYPE:&nbsp; DANFIELD","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"13617 EARLY LIGHT LN
SILVER SPRING, MD 20906
(39.0798, -77.033424)"
"606378","Finaled","13768","NIGHT SKY","DR",,"SILVER SPRING","MD","20906","2012-07-26T07:07:36.000","2012-08-21T12:08:52.000","2012-12-17T07:12:05.000","5699","200000","HOUSE TYPE:&nbsp; PRESCOTT","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"13768 NIGHT SKY DR
SILVER SPRING, MD 20906
(39.079971, -77.03248)"
"606443","Issued",,,,,,,,"2012-07-26T10:07:24.000","2012-09-10T10:09:30.000",,"4314","160000","PURE MODEL&nbsp; JENNINGS 2012 IRC Revision 11/13/2012 2x6 walls and instalation","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,
"606483","Issued","12112","DREWS","CT",,"POTOMAC","MD","20854","2012-07-26T12:07:57.000","2012-07-26T02:07:35.000",,"100","500000","RESTORE &amp; REPAIR FOR ROOF DAMAGE","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","SINGLE FAMILY DWELLING",,"12112 DREWS CT
POTOMAC, MD 20854
(39.054638, -77.271355)"
"606538","Finaled","23221","MURDOCK RIDGE","WAY",,"CLARKSBURG","MD","20871","2012-07-27T08:07:08.000","2012-07-27T09:07:03.000","2012-08-15T02:08:53.000","152","1000","Deck const.&nbsp;&nbsp; Build per Montgomery County Deck Detail;s only.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"23221 MURDOCK RIDGE WAY
CLARKSBURG, MD 20871
(39.238262, -77.273065)"
"606543","Finaled","22430","HERON NECK","TER",,"CLARKSBURG","MD","20871","2012-07-27T09:07:08.000","2012-10-26T10:10:46.000","2013-02-15T09:02:51.000","4260","145000","Referback to JAMES MICHENER&nbsp;(2009 IRC) AND 4ft Fence","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"22430 HERON NECK TER
CLARKSBURG, MD 20871
(39.22453, -77.239608)"
"606544","Finaled","22394","HERON NECK","TER",,"CLARKSBURG","MD","20871","2012-07-27T09:07:17.000","2012-09-04T12:09:20.000","2012-11-29T08:11:29.000","4260","145000","Referback to&nbsp;JAMES MICHENER, #575935&nbsp;(2009 IRC) AND 4ft Fence","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"22394 HERON NECK TER
CLARKSBURG, MD 20871
(39.224192, -77.240127)"
"606547","Issued","6500","80TH","ST",,"CABIN JOHN","MD","20818","2012-07-27T09:07:19.000","2012-07-27T11:07:10.000",,"1021","67000","CREATE MUD ROOM IN BASEMENT &amp; RENOVATE KITCHEN, BATH &amp; CLOSET","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"6500 80TH ST
CABIN JOHN, MD 20818
(38.975397, -77.164197)"
"606698","Finaled","22515","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T07:07:02.000","2012-11-21T11:11:30.000","2013-03-12T08:03:39.000","1394","95000","New TH and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22515 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224818, -77.240794)"
"606702","Finaled","22517","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:49.000","2012-11-21T12:11:21.000","2013-03-12T08:03:16.000","1394","0","New TH and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22517 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224846, -77.240735)"
"606703","Finaled","22519","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:54.000","2012-11-21T12:11:41.000","2013-03-15T07:03:24.000","1394","0","New TH&nbsp;and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22519 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224867, -77.240687)"
"606704","Finaled","22521","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:00.000","2012-11-21T12:11:25.000","2013-03-13T07:03:45.000","1394","0","New TH&nbsp;and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22521 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224883, -77.240661)"
"606705","Finaled","22523","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:05.000","2012-11-21T12:11:20.000","2013-03-18T09:03:37.000","1394","0","New TH&nbsp;and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22523 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224916, -77.240609)"
"606706","Finaled","22525","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:09.000","2012-11-21T12:11:05.000","2013-03-17T07:03:22.000","1394","0","New TH and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22525 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224946, -77.24056)"
"606707","Finaled","22527","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:13.000","2012-11-21T12:11:24.000","2013-03-19T07:03:41.000","1394","0","New TH&nbsp;and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22527 MUSCADINE DR
CLARKSBURG, MD 20871
(39.224977, -77.24051)"
"606708","Finaled","22529","MUSCADINE","DR",,"CLARKSBURG","MD","20871","2012-07-30T08:07:17.000","2012-11-21T12:11:36.000","2013-03-23T08:03:23.000","1394","0","New TH&nbsp;and 6 ft fence.&nbsp; MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"22529 MUSCADINE DR
CLARKSBURG, MD 20871
(39.225011, -77.240455)"
"606776","Finaled","110","SAMUEL MANOR","CT",,"GAITHERSBURG","MD","20878","2012-07-30T11:07:54.000","2013-03-20T03:03:10.000","2013-08-30T12:08:13.000","2355","200000","HOUSE TYPE:&nbsp; PAXTON

SUBMITTED PRIOR TO&nbsp; 7/1/12","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"110 SAMUEL MANOR CT
GAITHERSBURG, MD 20878
(39.1095, -77.258926)"
